url,word_count,noindex
"/thank-you/",36,true
"/404.html",44,true
"/work/",57,false
"/lp/performance-marketing/thanks/",80,true
"/team/jamal-khan/",82,false
"/team/khushal-sharma/",86,false
"/team/tayeb-khan/",86,false
"/team/maaz-khan/",90,false
"/teardowns/",128,false
"/industries/",144,false
"/tools/",156,false
"/vs/",159,false
"/contact/",185,false
"/guides/",225,false
"/team/",229,false
"/tools/break-even-roas-calculator/",239,false
"/tools/d2c-cac-payback-calculator/",261,false
"/tools/meta-ads-budget-planner/",308,false
"/tools/shopify-speed-grader/",333,false
"/cookie-policy/",356,false
"/glossary/checkout-abandonment/",363,false
"/glossary/retention-cohort/",363,false
"/glossary/cvr/",367,false
"/glossary/hook-rate/",370,false
"/glossary/ctr/",371,false
"/glossary/thumb-stop-ratio/",371,false
"/glossary/cpc/",374,false
"/glossary/cpm/",374,false
"/glossary/aov/",377,false
"/glossary/incrementality/",379,false
"/glossary/payback-period/",379,false
"/glossary/attribution-window/",381,false
"/glossary/clv-cac-ratio/",383,false
"/glossary/first-purchase-profitability/",384,false
"/glossary/landing-page-cvr/",384,false
"/glossary/mer/",385,false
"/glossary/aov-uplift/",387,false
"/glossary/advantage-plus-shopping/",389,false
"/glossary/blended-roas/",390,false
"/glossary/creative-fatigue/",391,false
"/glossary/contribution-margin/",398,false
"/glossary/performance-max/",398,false
"/glossary/ltv/",399,false
"/glossary/cac/",406,false
"/glossary/roas/",410,false
"/technical-seo-audit-services/",462,false
"/sitemap/",466,false
"/shopify-store-migration-services/",467,false
"/shopify-speed-optimisation-services/",476,false
"/shopify-store-redesign-services/",486,false
"/case-studies/",533,false
"/industries/beauty-cosmetics/",534,false
"/blog/",538,false
"/vs/advantage-plus-vs-manual/",541,false
"/industries/wellness-health/",547,false
"/industries/gifting/",550,false
"/industries/kids-baby/",554,false
"/vs/seo-vs-performance-marketing/",571,false
"/vs/shopify-vs-woocommerce/",603,false
"/meta-ads-agency-india/",614,false
"/industries/fashion-apparel/",631,false
"/audit/",642,false
"/vs/in-house-vs-agency/",650,false
"/vs/agency-vs-freelancer/",662,false
"/case-studies/gifting-brand-new-concept-launch/",668,false
"/case-studies/kidswear-campaign-longevity/",668,false
"/case-studies/indo-western-launch-90-days/",690,false
"/case-studies/wellness-brand-zero-to-scale/",691,false
"/case-studies/kids-accessories-seven-month-floor/",714,false
"/case-studies/womenswear-breaking-the-ceiling/",714,false
"/blog/what-realistic-roas-looks-like/",735,false
"/blog/ask-your-agency-for-their-worst-month/",742,false
"/blog/in-house-versus-outsourced-agency-work/",755,false
"/case-studies/womens-fashion-account-turnaround/",755,false
"/blog/creative-that-survives-repetition/",783,false
"/glossary/",797,false
"/blog/why-5x-in-30-days-is-a-red-flag/",801,false
"/about/",802,false
"/blog/first-90-days-of-a-new-d2c-ad-account/",804,false
"/blog/what-to-fix-before-blaming-the-ads/",804,false
"/blog/when-to-scale-spend-and-when-to-hold/",818,false
"/blog/meta-ads-traffic-but-no-sales/",835,false
"/blog/who-we-turn-down-and-why/",842,false
"/disclaimer/",850,false
"/terms/",875,false
"/ecommerce-seo-services/",931,false
"/local-seo-services-bangalore/",938,false
"/conversion-rate-optimisation-services/",1033,false
"/google-ads-agency-bangalore/",1034,false
"/answer-engine-optimisation-services/",1083,false
"/shopify-development-company-bangalore/",1104,false
"/guides/shopify-store-speed/",1114,false
"/social-media-marketing-agency-bangalore/",1117,false
"/seo-agency-bangalore/",1139,false
"/web-development-company-bangalore/",1167,false
"/guides/meta-ads-creative-testing/",1234,false
"/performance-marketing-agency-bangalore/",1388,false
"/lp/web-development/",1392,true
"/guides/d2c-unit-economics/",1419,false
"/privacy/",1487,false
"/styleguide/",2187,true
"/",2262,false
"/lp/performance-marketing/b2b/",2276,true
"/lp/performance-marketing/",2281,true
